City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
175,Severo-Kurilsk,RU,50.68,156.12,43.77,85,92,3.78,light rain
176,Aklavik,CA,68.22,-135.01,24.8,79,90,17.22,overcast clouds
177,Loikaw,MM,19.67,97.21,66.43,93,44,2.82,scattered clouds
178,Hilo,US,19.73,-155.09,84.2,66,75,10.29,broken clouds
179,New Norfolk,AU,-42.78,147.06,45.0,71,3,1.01,clear sky
180,Jiuquan,CN,39.74,98.52,35.08,66,71,5.53,broken clouds
181,Kapaa,US,22.08,-159.32,84.0,74,40,5.82,scattered clouds
182,Constitucion,CL,-35.33,-72.42,57.94,59,0,18.66,clear sky
183,Morondava,MG,-20.28,44.28,76.08,62,0,11.65,clear sky
184,Sharjah,AE,25.36,55.4,84.2,60,0,2.24,clear sky
185,Geraldton,AU,-28.77,114.6,57.2,87,0,1.12,clear sky
186,Dunedin,NZ,-45.87,170.5,46.0,91,100,3.0,overcast clouds
187,Ruteng,ID,-8.61,120.47,63.48,100,100,3.09,overcast clouds
188,Mount Gambier,AU,-37.83,140.77,44.6,87,4,10.29,clear sky
189,Vestmannaeyjar,IS,63.44,-20.27,44.92,75,1,3.65,clear sky
190,Maceio,BR,-9.67,-35.74,80.6,74,0,8.05,clear sky
191,Port Hardy,CA,50.7,-127.42,41.0,57,90,4.7,overcast clouds
192,Alofi,NU,-19.06,-169.92,75.2,84,100,17.31,light rain
193,Clyde River,CA,70.47,-68.59,17.6,78,90,8.05,overcast clouds
194,Muisne,EC,0.6,-80.03,84.2,74,40,11.41,scattered clouds
195,Port Hueneme,US,34.15,-119.2,69.8,56,90,18.34,overcast clouds
196,Tarata,BO,-17.62,-66.02,87.8,20,40,4.7,scattered clouds
197,Port-Gentil,GA,-0.72,8.78,80.6,78,40,11.41,scattered clouds
198,Douentza,ML,15.0,-2.95,84.16,13,0,6.51,clear sky
199,Sucua,EC,-2.47,-78.17,80.6,54,40,8.05,scattered clouds
200,Zhigansk,RU,66.77,123.37,-2.36,88,0,4.92,clear sky
201,Cuenca,EC,-2.88,-78.98,68.0,60,75,4.7,shower rain
202,Mersing,MY,2.43,103.84,77.0,94,21,4.7,light rain
203,Longyearbyen,SJ,78.22,15.64,30.2,74,75,10.29,broken clouds
204,Portobelo,PA,9.55,-79.65,84.2,74,40,9.17,scattered clouds
205,Vila Franca Do Campo,PT,37.72,-25.43,60.8,77,20,3.36,few clouds
206,Ostrovnoy,RU,68.05,39.51,32.31,92,99,8.12,overcast clouds
207,Luganville,VU,-15.53,167.17,80.6,78,40,9.17,scattered clouds
208,Saint-Pierre,RE,-21.34,55.48,69.8,73,0,5.82,clear sky
209,Santa Cruz,BO,-17.8,-63.17,93.2,49,75,25.28,broken clouds
210,Klaksvik,FO,62.23,-6.59,44.6,87,14,9.17,few clouds
211,Houma,US,29.6,-90.72,79.0,69,1,4.7,clear sky
212,Sao Felix Do Xingu,BR,-6.64,-51.99,87.3,52,96,2.28,overcast clouds
213,Palmer,US,42.16,-72.33,52.0,61,75,8.05,broken clouds
214,Gobo,JP,33.88,135.15,55.4,81,75,10.29,broken clouds
215,Agulu,NG,6.11,7.07,82.4,78,20,2.24,thunderstorm
216,San Patricio,US,28.02,-97.52,84.99,66,75,17.22,broken clouds
217,Ambon,ID,-3.7,128.18,75.99,16,67,4.79,broken clouds
218,Morehead,US,37.27,-87.18,55.4,93,90,3.38,overcast clouds
219,Marsh Harbour,BS,26.54,-77.06,77.49,81,100,15.59,light rain
220,Sakskobing,DK,54.8,11.63,54.0,95,100,5.99,light rain
221,Mecca,SA,21.43,39.83,78.08,70,0,3.36,clear sky
222,Pisco,PE,-13.7,-76.22,70.0,64,0,19.46,clear sky
223,Najran,SA,17.49,44.13,66.2,16,0,1.57,clear sky
224,Todos Santos,MX,23.45,-110.22,80.01,72,0,8.01,clear sky
225,Vilhena,BR,-12.74,-60.15,85.42,54,96,2.77,overcast clouds
226,Ancud,CL,-41.87,-73.82,55.99,62,40,13.87,shower rain
227,Opuwo,NA,-18.06,13.84,70.79,37,13,5.39,few clouds
228,Sao Joao Da Barra,BR,-21.64,-41.05,71.6,94,90,8.05,overcast clouds
229,Ibipora,BR,-23.27,-51.05,91.4,38,20,2.24,few clouds
230,Thompson,CA,55.74,-97.86,24.8,73,75,8.05,light shower snow
231,Provideniya,RU,64.38,-173.3,33.42,91,100,2.95,overcast clouds
232,Mamakan,RU,57.82,114.0,31.19,93,100,5.39,overcast clouds
233,Veraval,IN,20.9,70.37,81.52,62,0,7.72,clear sky
234,Bathsheba,BB,13.22,-59.52,86.0,70,40,16.11,scattered clouds
235,San Jose,US,37.34,-121.89,71.01,46,40,10.29,scattered clouds
236,Laguna De Duero,ES,41.58,-4.72,46.99,87,0,14.99,clear sky
237,Vredefort,ZA,-27.01,27.36,73.54,34,97,11.01,overcast clouds
238,Sao Miguel Do Araguaia,BR,-13.28,-50.16,83.71,54,55,3.8,broken clouds
239,Husavik,IS,66.04,-17.34,42.8,75,75,13.87,broken clouds
240,Ahipara,NZ,-35.17,173.17,65.23,72,5,6.4,clear sky
241,Remanso,BR,-9.62,-42.08,82.27,58,55,2.62,broken clouds
242,Hualmay,PE,-11.1,-77.61,67.48,71,41,10.42,scattered clouds
243,Port Keats,AU,-14.25,129.55,81.9,83,48,9.64,scattered clouds
244,Baghdad,IQ,33.34,44.4,66.2,39,0,3.36,clear sky
245,Airai,TL,-8.93,125.41,61.47,100,98,1.43,overcast clouds
246,Sakakah,SA,29.97,40.21,71.6,12,20,10.29,few clouds
247,Grand Gaube,MU,-20.01,57.66,72.0,81,49,7.0,scattered clouds
248,Atasu,KZ,48.68,71.64,44.15,56,99,16.46,overcast clouds
249,Broome,US,42.25,-75.83,51.01,45,90,3.36,overcast clouds
250,Petauke,ZM,-14.24,31.33,76.17,35,29,8.9,scattered clouds
251,Arcachon,FR,44.59,-1.05,55.4,76,99,8.05,overcast clouds
252,Yamada,JP,39.47,141.95,47.32,80,70,4.7,broken clouds
253,Port Lincoln,AU,-34.73,135.87,51.93,63,43,14.9,scattered clouds
254,Valparaiso,CL,-33.04,-71.63,68.0,55,0,9.17,clear sky
255,Bilma,NE,18.69,12.92,72.52,21,0,3.36,clear sky
256,Evensk,RU,61.95,159.23,32.58,92,100,13.73,overcast clouds
257,Salina,US,38.84,-97.61,33.8,80,90,18.34,overcast clouds
258,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,24,40,24.16,scattered clouds
259,Guanare,VE,9.04,-69.74,83.3,86,73,2.44,broken clouds
260,Huarmey,PE,-10.07,-78.15,68.83,69,15,11.1,few clouds
261,Tutoia,BR,-2.76,-42.27,81.18,77,75,12.75,broken clouds
262,Wenatchee,US,47.42,-120.31,39.99,43,1,5.82,clear sky
263,Nadym,RU,65.53,72.52,15.03,96,99,13.02,overcast clouds
264,Poso,ID,-1.4,120.75,82.0,68,84,3.76,broken clouds
265,Sola,VU,-13.88,167.55,80.01,82,7,18.21,light rain
266,Carnarvon,AU,-24.87,113.63,69.8,88,75,17.22,broken clouds
267,Teya,RU,60.38,92.63,19.76,95,100,3.09,overcast clouds
268,Bend,US,44.06,-121.32,30.99,39,1,5.82,clear sky
269,Te Anau,NZ,-45.42,167.72,44.62,84,100,4.43,overcast clouds
270,Ust-Shonosha,RU,61.15,41.34,29.28,97,53,6.29,broken clouds
271,Upernavik,GL,72.79,-56.15,13.86,76,63,4.47,broken clouds
272,Santiago Del Estero,AR,-27.8,-64.26,84.06,48,53,21.94,broken clouds
273,Gamba,GA,-2.65,10.0,76.82,88,100,8.28,overcast clouds
274,Terney,RU,45.05,136.61,41.29,72,1,10.47,clear sky
275,Kavaratti,IN,10.57,72.64,81.48,77,99,8.05,overcast clouds
276,Kalabo,ZM,-14.97,22.68,75.88,19,64,4.12,broken clouds
277,Ulladulla,AU,-35.35,150.47,55.0,81,75,18.34,moderate rain
278,Sur,OM,22.57,59.53,73.13,54,0,5.95,clear sky
279,Lasa,IT,46.62,10.7,54.0,93,75,5.82,broken clouds
280,Murmashi,RU,68.82,32.81,23.0,92,75,2.24,broken clouds
281,Leshukonskoye,RU,64.9,45.76,24.26,98,96,4.07,overcast clouds
282,Mahanje,TZ,-9.93,35.33,67.95,72,37,2.3,scattered clouds
283,Boundiali,CI,9.52,-6.49,76.71,49,40,1.41,scattered clouds
284,Majene,ID,-3.54,118.97,78.66,85,99,4.68,overcast clouds
285,Fortuna,US,40.6,-124.16,62.01,67,1,6.93,clear sky
286,Waingapu,ID,-9.66,120.26,78.33,78,100,4.36,overcast clouds
287,Senador Guiomard,BR,-10.15,-67.74,93.2,52,40,13.87,scattered clouds
288,Faanui,PF,-16.48,-151.75,80.2,69,0,5.44,clear sky
289,Danielskuil,ZA,-28.19,23.54,70.88,37,96,9.04,overcast clouds
290,Saint-Augustin,CA,51.23,-58.65,34.18,80,3,12.64,clear sky
291,Flinders,AU,-34.58,150.86,59.0,76,100,10.0,overcast clouds
292,Akdagmadeni,TR,39.66,35.88,53.62,41,0,2.37,clear sky
293,Santo Andre,BR,-23.66,-46.54,71.6,73,75,9.17,broken clouds
294,Kununurra,AU,-15.77,128.73,80.6,88,62,4.7,broken clouds
295,Yershichi,RU,53.67,32.75,43.41,90,24,4.05,few clouds
296,Dawei,MM,14.08,98.2,74.86,84,63,2.68,broken clouds
297,Navolato,MX,24.77,-107.69,99.0,43,0,5.99,clear sky
298,Tautira,PF,-17.73,-149.15,82.4,69,75,8.05,shower rain
299,Tshikapa,CD,-6.42,20.8,73.04,92,97,1.63,light rain
300,Cabedelo,BR,-6.98,-34.83,80.6,78,20,9.17,few clouds
301,San Policarpo,PH,12.18,125.51,80.73,82,100,17.2,overcast clouds
302,La Palma,US,33.85,-118.05,70.0,52,90,5.82,overcast clouds
303,Barmer,IN,25.75,71.38,75.33,30,0,4.97,clear sky
304,Kosh-Agach,RU,50.0,88.67,19.02,71,83,0.89,broken clouds
305,Great Yarmouth,GB,52.61,1.73,48.99,99,72,3.0,broken clouds
306,Vitim,RU,59.45,112.56,28.22,97,100,8.34,overcast clouds
