City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Kombissiri,BF,2020-10-24 21:48:42,12.07,-1.34,78.8,44,94,4.5
93,Sivas,TR,2020-10-24 21:48:42,39.79,37.0,46.4,52,0,4.7
94,La Ronge,CA,2020-10-24 21:47:07,55.1,-105.28,24.8,53,90,11.41
95,Harper,LR,2020-10-24 21:46:11,4.38,-7.72,77.97,86,83,5.73
96,Garowe,SO,2020-10-24 21:48:42,8.41,48.48,77.31,57,19,10.74
97,Saint-Philippe,RE,2020-10-24 21:48:42,-21.36,55.77,71.6,60,0,5.82
98,Fairbanks,US,2020-10-24 21:48:42,64.84,-147.72,30.99,79,20,1.19
99,Bathsheba,BB,2020-10-24 21:48:42,13.22,-59.52,84.2,70,40,20.8
100,Lebu,CL,2020-10-24 21:48:42,-37.62,-73.65,53.71,74,32,7.4
101,Aksu,CN,2020-10-24 21:47:39,41.12,80.26,44.13,49,36,1.66
102,Padang,ID,2020-10-24 21:47:08,-0.95,100.35,77.83,78,100,4.05
103,Ishigaki,JP,2020-10-24 21:48:42,24.34,124.16,73.4,69,20,18.34
104,Yulara,AU,2020-10-24 21:48:43,-25.24,130.99,59.0,47,0,11.41
105,Sao Filipe,CV,2020-10-24 21:48:03,14.9,-24.5,81.55,73,96,10.71
106,Avarua,CK,2020-10-24 21:46:57,-21.21,-159.78,77.0,65,52,13.87
107,Clyde River,CA,2020-10-24 21:48:43,70.47,-68.59,19.4,73,90,4.7
108,Byron Bay,AU,2020-10-24 21:48:43,-28.65,153.62,73.99,83,6,6.93
109,San Quintin,MX,2020-10-24 21:48:43,30.48,-115.95,69.71,67,95,13.47
110,Dikson,RU,2020-10-24 21:46:30,73.51,80.55,22.28,94,13,5.68
111,Nchelenge,ZM,2020-10-24 21:48:43,-9.35,28.73,76.78,66,0,3.02
112,Kapaa,US,2020-10-24 21:48:43,22.08,-159.32,84.0,69,40,14.99
113,Kiunga,PG,2020-10-24 21:48:44,-6.12,141.29,77.16,80,29,0.87
114,Castro,BR,2020-10-24 21:48:44,-24.79,-50.01,64.31,89,73,4.34
115,Yeppoon,AU,2020-10-24 21:48:44,-23.13,150.73,71.6,94,90,7.9
116,Butaritari,KI,2020-10-24 21:47:01,3.07,172.79,81.95,66,15,6.76
117,Dongkan,CN,2020-10-24 21:48:44,34.0,119.83,50.43,69,76,4.7
118,Toyooka,JP,2020-10-24 21:48:44,35.53,134.83,48.2,76,75,8.05
119,Hermanus,ZA,2020-10-24 21:48:44,-34.42,19.23,62.01,90,29,1.99
120,Guaitarilla,CO,2020-10-24 21:48:44,1.14,-77.55,55.98,93,93,3.2
121,Sabaudia,IT,2020-10-24 21:48:44,41.3,13.03,60.01,90,8,1.01
122,Balabac,PH,2020-10-24 21:48:44,7.99,117.06,80.92,82,100,9.26
123,Macusani,PE,2020-10-24 21:48:45,-14.08,-70.43,45.43,65,97,4.09
124,Matara,LK,2020-10-24 21:48:45,5.95,80.54,76.87,89,75,7.43
125,Arraial Do Cabo,BR,2020-10-24 21:46:38,-22.97,-42.03,69.8,100,90,13.87
126,Kadur,IN,2020-10-24 21:48:45,13.55,76.01,70.07,90,100,1.95
127,Whitianga,NZ,2020-10-24 21:48:45,-36.83,175.7,65.48,66,3,5.61
128,Umm Kaddadah,SD,2020-10-24 21:48:45,13.6,26.69,83.84,17,1,15.32
129,Grand-Santi,GF,2020-10-24 21:48:45,4.25,-54.38,79.16,80,86,6.91
130,Chapais,CA,2020-10-24 21:48:45,49.78,-74.85,28.4,79,90,8.05
131,Rocha,UY,2020-10-24 21:48:45,-34.48,-54.33,62.6,95,19,6.29
132,Santa Vitoria,BR,2020-10-24 21:48:45,-18.84,-50.12,79.72,67,55,7.29
133,Mitsamiouli,KM,2020-10-24 21:48:46,-11.38,43.28,78.26,77,0,10.33
134,Port-Gentil,GA,2020-10-24 21:48:46,-0.72,8.78,78.8,88,40,6.93
135,Cherskiy,RU,2020-10-24 21:48:46,68.75,161.3,17.02,93,4,4.94
136,Kaitangata,NZ,2020-10-24 21:48:46,-46.28,169.85,70.09,48,100,10.94
137,Qaanaaq,GL,2020-10-24 21:48:46,77.48,-69.36,17.28,91,100,13.04
138,Ceska Kamenice,CZ,2020-10-24 21:48:46,50.8,14.42,51.01,93,0,3.36
139,Longyearbyen,SJ,2020-10-24 21:48:46,78.22,15.64,19.4,85,75,3.36
140,College,US,2020-10-24 21:48:46,64.86,-147.8,30.99,85,75,1.43
141,Maun,BW,2020-10-24 21:48:46,-19.98,23.42,84.2,26,0,8.05
142,Miami,US,2020-10-24 21:44:01,25.77,-80.19,78.01,94,90,9.17
143,Ponta Do Sol,PT,2020-10-24 21:48:47,32.67,-17.1,66.2,63,20,9.17
144,Touros,BR,2020-10-24 21:48:47,-5.2,-35.46,78.8,83,40,9.17
145,Kahului,US,2020-10-24 21:46:14,20.89,-156.47,87.8,58,20,8.05
146,Olinda,BR,2020-10-24 21:48:47,-8.01,-34.86,82.4,69,75,6.93
147,Salalah,OM,2020-10-24 21:48:47,17.02,54.09,75.2,41,0,1.12
148,Gouyave,GD,2020-10-24 21:48:47,12.16,-61.73,86.0,74,32,18.34
149,Hammerfest,NO,2020-10-24 21:48:47,70.66,23.68,37.4,93,100,17.22
150,Vardo,NO,2020-10-24 21:45:04,70.37,31.11,39.45,76,100,22.59
151,San Pedro De Ycuamandiyu,PY,2020-10-24 21:48:47,-24.09,-57.08,86.36,50,82,1.19
152,Katsuura,JP,2020-10-24 21:47:19,35.13,140.3,57.99,50,40,16.11
153,Vaini,TO,2020-10-24 21:48:47,-21.2,-175.2,75.2,88,90,11.41
154,Teguise,ES,2020-10-24 21:48:48,29.06,-13.56,69.8,68,20,14.99
155,Dalvik,IS,2020-10-24 21:48:48,65.97,-18.53,41.0,75,90,19.46
156,Leshukonskoye,RU,2020-10-24 21:48:48,64.9,45.76,28.56,98,97,6.51
157,Sur,OM,2020-10-24 21:48:48,22.57,59.53,77.16,50,0,10.76
158,Nelson Bay,AU,2020-10-24 21:48:48,-32.72,152.15,61.0,93,75,18.34
159,Kwekwe,ZW,2020-10-24 21:48:48,-18.93,29.81,66.36,40,0,7.02
160,Wawa,NG,2020-10-24 21:48:48,9.9,4.42,77.94,48,99,2.57
161,Jonkoping,SE,2020-10-24 21:46:36,57.78,14.16,44.6,100,95,6.93
162,Altay,CN,2020-10-24 21:48:48,47.87,88.12,23.29,85,1,3.56
163,Edinburg,GB,2020-10-24 21:46:58,55.95,-3.2,46.99,81,0,11.41
164,Gemena,CD,2020-10-24 21:48:49,3.25,19.77,71.08,96,100,1.63
165,Soyo,AO,2020-10-24 21:48:49,-6.13,12.37,77.31,83,78,7.25
166,Lasa,IT,2020-10-24 21:48:49,46.62,10.7,51.01,86,5,3.36
167,Batouri,CM,2020-10-24 21:48:49,4.43,14.37,70.02,95,99,0.69
168,Manzhouli,CN,2020-10-24 21:48:49,49.6,117.43,30.18,92,100,2.15
169,Grindavik,IS,2020-10-24 21:48:49,63.84,-22.43,42.8,75,75,25.28
170,Sorland,NO,2020-10-24 21:48:49,67.67,12.69,42.98,68,0,16.8
171,Naryan-Mar,RU,2020-10-24 21:48:49,67.67,53.09,17.33,93,87,13.04
172,Ojinaga,MX,2020-10-24 21:48:49,29.57,-104.42,82.99,29,1,1.43
173,Cidreira,BR,2020-10-24 21:47:28,-30.18,-50.21,68.54,89,63,13.09
174,Coahuayana,MX,2020-10-24 21:48:49,18.73,-103.68,84.2,74,5,5.93
175,Zhigansk,RU,2020-10-24 21:48:49,66.77,123.37,21.02,97,100,25.41
176,Naze,JP,2020-10-24 21:47:06,28.37,129.48,69.8,60,75,14.99
177,Bossangoa,CF,2020-10-24 21:48:50,6.49,17.46,73.49,89,100,2.35
178,Puri,IN,2020-10-24 21:48:50,19.8,85.85,77.0,100,40,6.06
179,Bismarck,US,2020-10-24 21:44:06,46.81,-100.78,26.6,63,90,8.05
180,Flinders,AU,2020-10-24 21:48:50,-34.58,150.86,57.99,76,96,5.99
181,Nome,US,2020-10-24 21:48:50,64.5,-165.41,36.0,96,90,11.41
182,Mahebourg,MU,2020-10-24 21:48:50,-20.41,57.7,71.6,88,75,12.75
183,Nyuksenitsa,RU,2020-10-24 21:48:50,60.41,44.24,30.67,97,29,4.38
184,Barranca,PE,2020-10-24 21:48:50,-10.75,-77.77,65.39,77,50,8.19
185,Barquisimeto,VE,2020-10-24 21:45:00,10.07,-69.32,84.2,58,100,14.99
186,Nemuro,JP,2020-10-24 21:48:51,43.32,145.57,50.7,66,69,24.34
187,Azad Shahr,IR,2020-10-24 21:48:51,34.79,48.57,43.11,62,0,1.99
188,Fortuna,US,2020-10-24 21:48:51,40.6,-124.16,61.0,67,1,14.99
189,San Patricio,US,2020-10-24 21:48:51,28.02,-97.52,73.4,46,75,6.93
