City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
459,Tual,ID,82.33,overcast clouds,-5.67,132.75,Grand Vilia Hotel
461,Ahuimanu,US,84.2,scattered clouds,21.44,-157.84,Paradise Bay Resort
468,Cayenne,GF,86.0,few clouds,4.93,-52.33,Hôtel Le Dronmi
474,Pangkalanbuun,ID,75.0,light rain,-2.68,111.62,Grand Kecubung Hotel
478,Palu,ID,76.1,overcast clouds,-0.89,119.87,Hotel Santika Palu
480,Libreville,GA,80.6,broken clouds,0.39,9.45,Hotel Re-Ndama
485,Mopipi,BW,83.55,broken clouds,-21.18,24.88,
487,Green Valley,US,84.2,clear sky,31.85,-110.99,Best Western Green Valley Inn
489,Bama,NG,79.48,clear sky,11.52,13.69,UN Humanitarian Hub
492,Kilindoni,TZ,79.59,clear sky,-7.91,39.67,Bustani B&B
494,Bubaque,GW,83.84,few clouds,11.28,-15.83,"Casa Dora, Bubaque"
498,Angat,PH,77.0,heavy intensity rain,14.93,121.03,Numana Farm
499,Kloulklubed,PW,83.44,overcast clouds,7.04,134.26,Storyboard Beach Resort
501,Naliya,IN,78.8,clear sky,23.27,68.83,Hotel Panchvati
505,Miri,MY,75.2,moderate rain,4.41,114.01,"Mega Hotel, Miri"
509,Wajir,KE,82.87,broken clouds,1.75,40.06,Al- Amin lodge
512,Canala,NC,77.0,clear sky,-21.53,165.95,Gite de Kuiné
516,Voh,NC,78.19,clear sky,-20.97,164.7,Le gîte du Koniambo
532,Ixtapa,MX,89.6,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
534,Kattivakkam,IN,80.6,mist,13.22,80.32,St. Joseph Thirumana mandapam
536,Canatlan,MX,82.99,clear sky,24.52,-104.78,AUTOLAVADO El Negro
542,Adre,TD,76.44,scattered clouds,13.47,22.2,
543,Jesus De Otoro,HN,77.59,light rain,14.48,-87.98,Hotel Tosta
544,Port Blair,IN,78.76,light rain,11.67,92.75,Fortune Resort Bay Island
545,Matara,LK,77.45,overcast clouds,5.95,80.54,Amaloh Boutique Resort
546,Zacatepec,MX,88.0,broken clouds,18.65,-99.2,Capital O Villa El Paraíso
554,Umm Kaddadah,SD,82.31,clear sky,13.6,26.69,
557,San Miguel,SV,87.8,light rain,13.48,-88.18,Excalibur
